中,英文,日文,原產地,養殖/種植,生境,食用部位,食物種類,,域,,界,,門,,亞門,,綱,,亞綱,,目,,科,,亞科,,屬,,種,,
鹿角菜？,,,,,,,,8/26/18,眞核域,Eukaryota,不等鞭毛類,Stramenopiles,,,,,褐藻綱,Phaeophyceae,,,,,,,,,,,,,鹿角菜？：眞核域(Eukaryota) > 不等鞭毛類(Stramenopiles) > 褐藻綱(Phaeophyceae)
銀杏（白果）,,,,,,,,9/24/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,頂臝子植物,Acrogymnospermae,,,銀杏亞綱,Ginkgoidae,銀杏目,Ginkgoales,銀杏科,Ginkgoaceae,,,銀杏屬,Ginkgo,銀杏,Ginkgo biloba,銀杏（白果）：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 頂臝子植物(Acrogymnospermae) > 銀杏亞綱(Ginkgoidae) > 銀杏目(Ginkgoales) > 銀杏科(Ginkgoaceae) > 銀杏屬(Ginkgo) > 銀杏(Ginkgo biloba)
紅松（松子）,,,,,,,,9/5/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,頂臝子植物,Acrogymnospermae,,,松柏亞綱,Pinidae,松目,Pinales,松科,Pinaceae,,,松屬,Pinus,紅松,Pinus koraiensis,紅松（松子）：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 頂臝子植物(Acrogymnospermae) > 松柏亞綱(Pinidae) > 松目(Pinales) > 松科(Pinaceae) > 松屬(Pinus) > 紅松(Pinus koraiensis)
西藏白皮松（巴西松子）,chilgoza pine,,,,,,,11/19/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,頂臝子植物,Acrogymnospermae,,,松柏亞綱,Pinidae,松目,Pinales,松科,Pinaceae,,,松屬,Pinus,西藏白皮松,Pinus gerardiana,西藏白皮松（巴西松子）：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 頂臝子植物(Acrogymnospermae) > 松柏亞綱(Pinidae) > 松目(Pinales) > 松科(Pinaceae) > 松屬(Pinus) > 西藏白皮松(Pinus gerardiana)
香榧,,,,,,,,10/21/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,頂臝子植物,Acrogymnospermae,,,松柏亞綱,Pinidae,柏目,Cupressales,紅豆杉科,Taxaceae,,,榧屬,Torreya,香榧,Torreya grandis,香榧：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 頂臝子植物(Acrogymnospermae) > 松柏亞綱(Pinidae) > 柏目(Cupressales) > 紅豆杉科(Taxaceae) > 榧屬(Torreya) > 香榧(Torreya grandis)
蕨菜,bracken,,,,,,,10/17/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,,,眞蕨綱,Polypodiopsida,水龍骨亞綱,Polypodiidae,水龍骨目,Polypodiales,碗蕨科,Dennstaedtiaceae,,,蕨屬,Pteridium,蕨菜,Pteridium aquilinum,蕨菜：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 眞蕨綱(Polypodiopsida) > 水龍骨亞綱(Polypodiidae) > 水龍骨目(Polypodiales) > 碗蕨科(Dennstaedtiaceae) > 蕨屬(Pteridium) > 蕨菜(Pteridium aquilinum)
茨菰/慈菇,,,,,,,,12/2/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,百合綱,Liliopsida,,,澤瀉目,Alismatales,澤瀉目,Alismataceae,,,茨菰屬,Sagittaria,茨菰,Sagittaria trifolia,茨菰/慈菇：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 百合綱(Liliopsida) > 澤瀉目(Alismatales) > 澤瀉目(Alismataceae) > 茨菰屬(Sagittaria) > 茨菰(Sagittaria trifolia)
蒟蒻（魔芋）,,,,,,,,8/31/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,百合綱,Liliopsida,,,澤瀉目,Alismatales,天南星科,Araceae,天南星亞科,Aroideae,魔芋屬,Amorphophallus,蒟蒻,Amorphophallus konjac,蒟蒻（魔芋）：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 百合綱(Liliopsida) > 澤瀉目(Alismatales) > 天南星科(Araceae) > 天南星亞科(Aroideae) > 魔芋屬(Amorphophallus) > 蒟蒻(Amorphophallus konjac)
芋,,,,,,,,9/16/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,百合綱,Liliopsida,,,澤瀉目,Alismatales,天南星科,Araceae,天南星亞科,Aroideae,芋屬,Colocasia,芋,Colocasia esculenta,芋：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 百合綱(Liliopsida) > 澤瀉目(Alismatales) > 天南星科(Araceae) > 天南星亞科(Aroideae) > 芋屬(Colocasia) > 芋(Colocasia esculenta)
海菜花/洱海海菜,,,,,,,,11/21/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,百合綱,Liliopsida,,,澤瀉目,Alismatales,水鱉科,Hydrocharitaceae,,,水車前屬,Ottelia,海菜花,Ottelia acuminata,海菜花/洱海海菜：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 百合綱(Liliopsida) > 澤瀉目(Alismatales) > 水鱉科(Hydrocharitaceae) > 水車前屬(Ottelia) > 海菜花(Ottelia acuminata)
椰子,,,,,,,,8/30/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,百合綱,Liliopsida,,,椶櫚目,Arecales,椶櫚科,Arecaceae,檳榔亞科,Arecoideae,椰子屬,Cocos,椰子,Cocos nucifera,椰子：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 百合綱(Liliopsida) > 椶櫚目(Arecales) > 椶櫚科(Arecaceae) > 檳榔亞科(Arecoideae) > 椰子屬(Cocos) > 椰子(Cocos nucifera)
檳榔,,,,,,,,11/3/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,百合綱,Liliopsida,,,椶櫚目,Arecales,椶櫚科,Arecaceae,檳榔亞科,Arecoideae,檳榔屬,Areca,檳榔,Areca catechu,檳榔：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 百合綱(Liliopsida) > 椶櫚目(Arecales) > 椶櫚科(Arecaceae) > 檳榔亞科(Arecoideae) > 檳榔屬(Areca) > 檳榔(Areca catechu)
滇西蛇皮果,,,,,,,,11/23/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,百合綱,Liliopsida,,,椶櫚目,Arecales,椶櫚科,Arecaceae,省藤亞科,Calamoideae,蛇皮果屬,Salacca,滇西蛇皮果,Salacca griffithii,滇西蛇皮果：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 百合綱(Liliopsida) > 椶櫚目(Arecales) > 椶櫚科(Arecaceae) > 省藤亞科(Calamoideae) > 蛇皮果屬(Salacca) > 滇西蛇皮果(Salacca griffithii)
糖椶/泰國海底椰,,,,,,,,10/4/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,百合綱,Liliopsida,,,椶櫚目,Arecales,椶櫚科,Arecaceae,貝葉椶亞科,Coryphoideae,糖椶屬,Borassus,糖椶,Borassus flabellifer,糖椶/泰國海底椰：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 百合綱(Liliopsida) > 椶櫚目(Arecales) > 椶櫚科(Arecaceae) > 貝葉椶亞科(Coryphoideae) > 糖椶屬(Borassus) > 糖椶(Borassus flabellifer)
椰棗/伊拉克蜜棗,date palm,,,,,,,2/4/19,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,百合綱,Liliopsida,,,椶櫚目,Arecales,椶櫚科,Arecaceae,貝葉椶亞科,Coryphoideae,椰棗屬,Phoenix,椰棗,Phoenix dactylifera,椰棗/伊拉克蜜棗：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 百合綱(Liliopsida) > 椶櫚目(Arecales) > 椶櫚科(Arecaceae) > 貝葉椶亞科(Coryphoideae) > 椰棗屬(Phoenix) > 椰棗(Phoenix dactylifera)
水椰（亞答籽）,,,,,,,,11/18/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,百合綱,Liliopsida,,,椶櫚目,Arecales,椶櫚科,Arecaceae,水椰亞科,Nypoideae,水椰屬,Nypa,水椰,Nypa fruticans,水椰（亞答籽）：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 百合綱(Liliopsida) > 椶櫚目(Arecales) > 椶櫚科(Arecaceae) > 水椰亞科(Nypoideae) > 水椰屬(Nypa) > 水椰(Nypa fruticans)
薤/藠頭,,,,,,,,10/15/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,百合綱,Liliopsida,,,天門冬目,Asparagales,石蒜科,Amaryllidaceae,蔥亞科,Allioideae,蔥屬,Allium,薤,Allium chinense,薤/藠頭：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 百合綱(Liliopsida) > 天門冬目(Asparagales) > 石蒜科(Amaryllidaceae) > 蔥亞科(Allioideae) > 蔥屬(Allium) > 薤(Allium chinense)
洋蔥,,,,,,,,8/26/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,百合綱,Liliopsida,,,天門冬目,Asparagales,石蒜科,Amaryllidaceae,蔥亞科,Allioideae,蔥屬,Allium,洋蔥,Allium cepa,洋蔥：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 百合綱(Liliopsida) > 天門冬目(Asparagales) > 石蒜科(Amaryllidaceae) > 蔥亞科(Allioideae) > 蔥屬(Allium) > 洋蔥(Allium cepa)
蔥,,,,,,,,8/26/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,百合綱,Liliopsida,,,天門冬目,Asparagales,石蒜科,Amaryllidaceae,蔥亞科,Allioideae,蔥屬,Allium,蔥,Allium fistulosum,蔥：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 百合綱(Liliopsida) > 天門冬目(Asparagales) > 石蒜科(Amaryllidaceae) > 蔥亞科(Allioideae) > 蔥屬(Allium) > 蔥(Allium fistulosum)
沙蔥/蒙古韭,,,,,,,,3/8/19,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,百合綱,Liliopsida,,,天門冬目,Asparagales,石蒜科,Amaryllidaceae,蔥亞科,Allioideae,蔥屬,Allium,蒙古韭,Allium mongolicum,沙蔥/蒙古韭：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 百合綱(Liliopsida) > 天門冬目(Asparagales) > 石蒜科(Amaryllidaceae) > 蔥亞科(Allioideae) > 蔥屬(Allium) > 蒙古韭(Allium mongolicum)
蒜,,,,,,,,8/27/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,百合綱,Liliopsida,,,天門冬目,Asparagales,石蒜科,Amaryllidaceae,蔥亞科,Allioideae,蔥屬,Allium,蒜,Allium sativum,蒜：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 百合綱(Liliopsida) > 天門冬目(Asparagales) > 石蒜科(Amaryllidaceae) > 蔥亞科(Allioideae) > 蔥屬(Allium) > 蒜(Allium sativum)
韭菜,,,,,,,,9/1/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,百合綱,Liliopsida,,,天門冬目,Asparagales,石蒜科,Amaryllidaceae,蔥亞科,Allioideae,蔥屬,Allium,韭菜,Allium tuberosum,韭菜：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 百合綱(Liliopsida) > 天門冬目(Asparagales) > 石蒜科(Amaryllidaceae) > 蔥亞科(Allioideae) > 蔥屬(Allium) > 韭菜(Allium tuberosum)
蘆筍,,,,,,,,10/3/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,百合綱,Liliopsida,,,天門冬目,Asparagales,天門冬科,Asparagaceae,天門冬亞科,Asparagoideae,天門冬屬,Asparagus,蘆筍,Asparagus officinalis,蘆筍：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 百合綱(Liliopsida) > 天門冬目(Asparagales) > 天門冬科(Asparagaceae) > 天門冬亞科(Asparagoideae) > 天門冬屬(Asparagus) > 蘆筍(Asparagus officinalis)
麥冬,,,,,,,,11/4/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,百合綱,Liliopsida,,,天門冬目,Asparagales,天門冬科,Asparagaceae,假葉樹亞科,Nolinoideae,沿階草屬,Ophiopogon,麥冬,Ophiopogon japonicus,麥冬：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 百合綱(Liliopsida) > 天門冬目(Asparagales) > 天門冬科(Asparagaceae) > 假葉樹亞科(Nolinoideae) > 沿階草屬(Ophiopogon) > 麥冬(Ophiopogon japonicus)
蘆薈,aloe,,,,,,,11/7/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,百合綱,Liliopsida,,,天門冬目,Asparagales,阿福花科,Asphodelaceae,阿福花亞科,Asphodeloideae,蘆薈屬,Aloe,蘆薈,Aloe vera,蘆薈：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 百合綱(Liliopsida) > 天門冬目(Asparagales) > 阿福花科(Asphodelaceae) > 阿福花亞科(Asphodeloideae) > 蘆薈屬(Aloe) > 蘆薈(Aloe vera)
黃花菜,,,,,,,,9/23/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,百合綱,Liliopsida,,,天門冬目,Asparagales,阿福花科,Asphodelaceae,萱草亞科,Hemerocallidoideae,萱草屬,Hemerocallis,萱草,Hemerocallis fulva,黃花菜：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 百合綱(Liliopsida) > 天門冬目(Asparagales) > 阿福花科(Asphodelaceae) > 萱草亞科(Hemerocallidoideae) > 萱草屬(Hemerocallis) > 萱草(Hemerocallis fulva)
石橄欖,,,,,,,,11/18/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,百合綱,Liliopsida,,,天門冬目,Asparagales,蘭科,Orchidaceae,樹蘭亞科,Epidendroideae,石仙桃屬,Pholidota,石橄欖,Pholidota chinensis,石橄欖：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 百合綱(Liliopsida) > 天門冬目(Asparagales) > 蘭科(Orchidaceae) > 樹蘭亞科(Epidendroideae) > 石仙桃屬(Pholidota) > 石橄欖(Pholidota chinensis)
香草,vanilla,,,,,,,10/29/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,百合綱,Liliopsida,,,天門冬目,Asparagales,蘭科,Orchidaceae,香莢蘭亞科,Vanilloideae,香莢蘭屬,Vanilla,香莢蘭,Vanilla planifolia,香草：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 百合綱(Liliopsida) > 天門冬目(Asparagales) > 蘭科(Orchidaceae) > 香莢蘭亞科(Vanilloideae) > 香莢蘭屬(Vanilla) > 香莢蘭(Vanilla planifolia)
山藥,,,,,,,,9/1/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,百合綱,Liliopsida,,,薯蕷目,Dioscoreales,薯蕷科,Dioscoreaceae,,,薯蕷屬,Dioscorea,長山藥,Dioscorea polystachya,山藥：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 百合綱(Liliopsida) > 薯蕷目(Dioscoreales) > 薯蕷科(Dioscoreaceae) > 薯蕷屬(Dioscorea) > 長山藥(Dioscorea polystachya)
百合,,,,,,,,10/12/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,百合綱,Liliopsida,,,百合目,Liliales,百合科,Liliaceae,,,百合屬,Lilium,,,百合：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 百合綱(Liliopsida) > 百合目(Liliales) > 百合科(Liliaceae) > 百合屬(Lilium)
菠蘿,pineapple,,,,,,,8/27/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,百合綱,Liliopsida,,,禾本目,Poales,鳳梨科,Bromeliaceae,鳳梨亞科,Bromelioideae,鳳梨屬,Ananas,鳳梨,Ananas comosus,菠蘿：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 百合綱(Liliopsida) > 禾本目(Poales) > 鳳梨科(Bromeliaceae) > 鳳梨亞科(Bromelioideae) > 鳳梨屬(Ananas) > 鳳梨(Ananas comosus)
荸薺,,,,,,,,9/1/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,百合綱,Liliopsida,,,禾本目,Poales,莎草科,Cyperaceae,莎草亞科,Cyperoideae,荸薺屬,Eleocharis,荸薺,Eleocharis dulcis,荸薺：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 百合綱(Liliopsida) > 禾本目(Poales) > 莎草科(Cyperaceae) > 莎草亞科(Cyperoideae) > 荸薺屬(Eleocharis) > 荸薺(Eleocharis dulcis)
蘆葦（蘆根）,common reed,,,,,,,11/5/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,百合綱,Liliopsida,,,禾本目,Poales,禾本科,Poaceae,蘆竹亞科,Arundinoideae,蘆葦屬,Phragmites,蘆葦,Phragmites australis,蘆葦（蘆根）：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 百合綱(Liliopsida) > 禾本目(Poales) > 禾本科(Poaceae) > 蘆竹亞科(Arundinoideae) > 蘆葦屬(Phragmites) > 蘆葦(Phragmites australis)
竹筍,bamboo,,,,,,,8/26/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,百合綱,Liliopsida,,,禾本目,Poales,禾本科,Poaceae,竹亞科,Bambusoideae,,,,,竹筍：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 百合綱(Liliopsida) > 禾本目(Poales) > 禾本科(Poaceae) > 竹亞科(Bambusoideae)
水稻（米飯）,rice,,,,,,,8/26/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,百合綱,Liliopsida,,,禾本目,Poales,禾本科,Poaceae,稻亞科,Oryzoideae,稻屬,Oryza,水稻,Oryza sativa,水稻（米飯）：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 百合綱(Liliopsida) > 禾本目(Poales) > 禾本科(Poaceae) > 稻亞科(Oryzoideae) > 稻屬(Oryza) > 水稻(Oryza sativa)
菰（茭白）,,,,,,,,9/2/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,百合綱,Liliopsida,,,禾本目,Poales,禾本科,Poaceae,稻亞科,Oryzoideae,菰屬,Zizania,菰,Zizania latifolia,菰（茭白）：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 百合綱(Liliopsida) > 禾本目(Poales) > 禾本科(Poaceae) > 稻亞科(Oryzoideae) > 菰屬(Zizania) > 菰(Zizania latifolia)
薏米/薏苡,,,,,,,,9/28/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,百合綱,Liliopsida,,,禾本目,Poales,禾本科,Poaceae,黍亞科,Panicoideae,薏苡屬,Coix,薏苡,Coix lacryma-jobi,薏米/薏苡：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 百合綱(Liliopsida) > 禾本目(Poales) > 禾本科(Poaceae) > 黍亞科(Panicoideae) > 薏苡屬(Coix) > 薏苡(Coix lacryma-jobi)
香茅/檸檬草,lemon grass,,,,,,,9/8/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,百合綱,Liliopsida,,,禾本目,Poales,禾本科,Poaceae,黍亞科,Panicoideae,香茅屬,Cymbopogon,,,香茅/檸檬草：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 百合綱(Liliopsida) > 禾本目(Poales) > 禾本科(Poaceae) > 黍亞科(Panicoideae) > 香茅屬(Cymbopogon)
黍/大黃米/糯小米/糜子,broomcorn millet,,,,,,,10/21/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,百合綱,Liliopsida,,,禾本目,Poales,禾本科,Poaceae,黍亞科,Panicoideae,黍屬,Panicum,黍,Panicum miliaceum,黍/大黃米/糯小米/糜子：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 百合綱(Liliopsida) > 禾本目(Poales) > 禾本科(Poaceae) > 黍亞科(Panicoideae) > 黍屬(Panicum) > 黍(Panicum miliaceum)
甘蔗,sugarcane,,,,,,,10/10/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,百合綱,Liliopsida,,,禾本目,Poales,禾本科,Poaceae,黍亞科,Panicoideae,甘蔗屬,Saccharum,中國竹蔗,Saccharum sinense,甘蔗：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 百合綱(Liliopsida) > 禾本目(Poales) > 禾本科(Poaceae) > 黍亞科(Panicoideae) > 甘蔗屬(Saccharum) > 中國竹蔗(Saccharum sinense)
小米/粟,foxtail millet,,,,,,,9/10/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,百合綱,Liliopsida,,,禾本目,Poales,禾本科,Poaceae,黍亞科,Panicoideae,狗尾草屬,Setaria,粟,Setaria italica,小米/粟：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 百合綱(Liliopsida) > 禾本目(Poales) > 禾本科(Poaceae) > 黍亞科(Panicoideae) > 狗尾草屬(Setaria) > 粟(Setaria italica)
高粱/蜀黍,,,,,,,,12/24/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,百合綱,Liliopsida,,,禾本目,Poales,禾本科,Poaceae,黍亞科,Panicoideae,高粱屬,Sorghum,二色高粱,Sorghum bicolor,高粱/蜀黍：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 百合綱(Liliopsida) > 禾本目(Poales) > 禾本科(Poaceae) > 黍亞科(Panicoideae) > 高粱屬(Sorghum) > 二色高粱(Sorghum bicolor)
玉米,corn/maize,,,,,,,9/1/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,百合綱,Liliopsida,,,禾本目,Poales,禾本科,Poaceae,黍亞科,Panicoideae,玉米屬,Zea,玉米,Zea mays,玉米：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 百合綱(Liliopsida) > 禾本目(Poales) > 禾本科(Poaceae) > 黍亞科(Panicoideae) > 玉米屬(Zea) > 玉米(Zea mays)
